timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_2),CPU_8(group_3),CPU_10(group_3),CPU_12(group_3),CPU_14(group_4),CPU_16(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_2),CPU_72(group_3),CPU_74(group_3),CPU_76(group_3),CPU_78(group_4),CPU_80(group_5)
1768748916.429255,11.8,0.0,0.0,2.0,6.9,4.0,2.0,5.1,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
1768748917.4334674,8.1,1.0,2.0,3.0,11.2,4.0,5.9,3.0,100.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,100.0
1768748918.4377694,9.8,1.0,0.0,3.1,6.0,7.1,8.2,3.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748919.442908,6.2,1.0,0.0,3.0,3.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,100.0
1768748920.446045,11.7,0.0,1.0,3.0,0.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,100.0
1768748921.4495752,8.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1768748922.4536185,11.8,0.0,0.0,1.0,5.9,3.0,1.0,0.0,100.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0
1768748923.4552953,9.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748924.4579117,12.6,1.0,1.0,2.0,2.0,1.0,2.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748925.462205,10.9,3.0,0.0,0.0,0.0,1.0,2.0,1.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748926.4667494,10.8,12.1,2.0,1.0,1.0,2.0,3.0,2.0,100.0,13.1,1.0,4.0,5.1,2.0,1.0,0.0,1.0,100.0
1768748927.4698274,12.6,3.0,1.0,0.0,3.0,1.0,4.1,2.0,100.0,0.0,1.0,0.0,1.0,2.0,2.0,0.0,6.1,100.0
1768748928.47436,10.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,100.0
1768748929.4786248,11.7,0.0,1.0,1.0,0.0,7.1,7.1,7.1,100.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,100.0
1768748930.4825273,9.9,0.0,0.0,0.0,1.0,2.0,0.0,2.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,100.0
1768748931.485623,10.0,0.0,1.0,0.0,4.1,3.1,2.0,3.1,100.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,100.0
1768748932.489442,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748933.4928193,5.3,0.0,0.0,0.0,0.0,4.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748934.4962215,8.2,1.0,1.0,0.0,0.0,2.0,1.0,0.0,100.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
1768748935.4993384,7.1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0
1768748936.5027838,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,100.0
1768748937.5069768,11.7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0
1768748938.510146,13.5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0
1768748939.5141299,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1768748940.5180473,11.7,0.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,100.0
1768748941.5213451,9.2,7.1,2.0,3.0,5.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,100.0
1768748942.5252924,13.5,3.0,5.0,3.1,6.1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1768748943.529079,11.7,3.0,0.0,1.0,9.1,6.0,1.0,0.0,100.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,2.0,100.0
1768748944.532877,10.8,0.0,0.0,0.0,0.0,0.0,5.1,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0
1768748945.536278,10.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748946.540841,10.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748947.5449407,10.1,2.0,0.0,3.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,100.0
1768748948.5489883,12.4,9.1,7.0,3.0,4.0,1.0,1.0,0.0,100.0,1.0,8.8,0.0,1.0,0.0,0.0,1.0,3.0,100.0
1768748949.5521345,10.1,4.0,3.0,1.0,0.0,2.0,3.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,100.0
1768748950.5552683,9.1,4.0,0.0,3.0,0.0,0.0,1.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100.0
1768748951.557863,10.9,4.0,4.0,9.1,4.9,2.0,2.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,4.1,3.0,100.0
1768748952.5624464,13.3,0.0,6.1,2.0,1.0,1.0,2.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,2.0,8.1,12.9,100.0
1768748953.5657158,10.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748954.5707371,7.2,2.0,3.1,4.0,5.1,4.0,2.0,4.0,100.0,13.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,100.0
1768748955.576137,9.0,0.0,3.0,3.0,0.0,3.0,4.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748956.5802462,13.3,0.0,1.0,0.0,0.0,2.0,1.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0
1768748957.5834396,11.8,1.0,1.0,1.0,0.0,7.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748958.5872371,9.9,2.0,5.0,2.0,1.0,1.0,0.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748959.590288,14.2,1.0,0.0,0.0,0.0,3.0,5.1,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748960.5963955,7.2,1.0,0.0,5.0,0.0,0.0,0.0,6.1,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748961.6003523,8.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748962.6065447,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748963.6103866,8.2,0.0,2.0,0.0,1.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768748964.6135774,9.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748965.6179106,7.2,0.0,0.0,1.0,1.0,0.0,0.0,4.0,100.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748966.6218653,11.3,2.0,0.0,2.0,0.0,0.0,0.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748967.625945,13.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748968.6291301,10.8,1.0,0.0,0.0,0.0,1.0,0.0,3.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748969.6331942,7.3,0.0,1.0,2.0,0.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748970.6373703,12.6,1.0,1.0,0.0,1.0,0.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768748971.9021828,13.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1768748972.9168868,10.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,100.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748974.028446,12.7,4.0,3.0,2.0,5.1,3.0,0.0,1.0,100.0,3.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,100.0
1768748975.0339348,11.5,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,100.0
1768748976.1593752,10.9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,100.0
1768748977.163742,10.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0,0.0,100.0
1768748978.1679456,8.2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,2.0,100.0
1768748979.1721873,10.1,3.0,3.0,2.0,1.0,5.0,2.0,0.0,100.0,0.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0,100.0
1768748980.1764247,9.1,8.1,8.1,5.0,2.0,12.2,7.0,5.1,100.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,100.0
1768748981.1809132,7.1,2.0,0.0,1.0,1.0,1.0,8.0,2.0,100.0,0.0,1.0,1.0,0.0,1.0,3.0,4.0,3.0,100.0
1768748982.185451,7.1,1.0,0.0,0.0,0.0,1.0,2.0,0.0,100.0,3.0,0.0,5.0,3.0,0.0,1.0,0.0,2.0,100.0
1768748983.1894503,7.1,4.0,3.0,3.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,100.0
1768748984.1936162,4.2,2.0,3.1,2.0,1.0,1.0,0.0,2.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748985.1959724,9.0,5.1,2.0,1.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0
1768748986.2000492,6.1,3.0,2.0,2.0,2.0,4.0,6.1,5.9,100.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0
1768748987.2017374,6.1,4.0,2.0,0.0,3.1,0.0,4.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
1768748988.205643,11.8,9.1,6.0,2.0,0.0,3.0,0.0,3.1,100.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0
1768748989.2084901,14.4,14.9,2.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,100.0
1768748990.3421888,9.8,7.1,9.0,3.0,3.0,1.0,0.0,0.0,100.0,9.2,2.0,3.0,3.0,1.0,1.0,5.1,2.0,100.0
1768748991.345856,9.1,0.0,0.0,3.0,1.0,3.0,0.0,1.0,100.0,0.0,1.0,2.0,10.0,3.0,1.0,1.0,0.0,100.0
1768748992.3483682,8.1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,100.0,7.9,7.1,5.1,3.1,4.0,2.0,0.0,1.0,100.0
1768748993.3514764,14.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,3.1,4.0,4.0,7.8,0.0,0.0,0.0,0.0,100.0
1768748994.3558767,8.1,0.0,0.0,0.0,2.0,1.0,0.0,0.0,100.0,3.0,3.0,5.1,4.0,2.0,2.0,2.0,1.0,100.0
1768748995.3591816,8.9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,4.0,17.0,10.0,2.0,3.0,1.0,0.0,0.0,100.0
1768748996.362911,7.1,1.0,0.0,1.0,1.0,0.0,1.0,0.0,100.0,7.1,5.1,14.4,1.0,0.0,2.0,0.0,0.0,100.0
1768748997.3668869,12.6,1.0,1.0,5.0,1.0,5.0,0.0,3.0,100.0,2.0,15.2,2.0,1.0,5.1,4.1,6.1,7.0,100.0
1768748998.3712661,12.6,0.0,1.0,6.1,1.0,3.0,0.0,2.0,100.0,1.0,9.0,1.0,4.0,0.0,2.0,5.0,1.0,100.0
1768748999.3758101,11.8,1.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,100.0
1768749000.3797984,10.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,1.0,2.0,3.1,4.0,5.0,100.0
1768749001.3831758,10.9,1.0,1.0,0.0,0.0,1.0,3.0,0.0,100.0,1.0,0.0,1.0,0.0,0.0,1.0,4.1,11.0,100.0
1768749002.3868043,10.1,0.0,2.0,0.0,0.0,1.0,3.0,2.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,100.0
1768749003.394089,12.6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0
1768749004.3980856,12.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
1768749005.4026263,11.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,100.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,100.0
1768749006.4066741,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0
1768749007.409971,9.1,1.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749008.4142065,12.6,0.0,0.0,0.0,1.0,1.0,0.0,2.0,100.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,100.0
1768749009.4191775,10.9,0.0,0.0,1.0,0.0,1.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0
1768749010.4221117,12.5,4.0,7.1,0.0,0.0,2.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749011.4256935,10.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749012.4298909,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749013.43484,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749014.5157225,12.6,0.0,0.0,0.0,0.0,1.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749015.5197642,11.8,0.0,0.0,0.0,0.0,1.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749016.5242286,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749017.5280845,11.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749018.5315738,13.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749019.535784,8.2,3.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
1768749020.5396755,11.8,2.0,0.0,0.0,6.0,10.9,14.4,3.0,100.0,2.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0
1768749021.544185,9.1,0.0,0.0,0.0,0.0,4.0,11.0,5.1,100.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,100.0
1768749022.5466852,7.2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
