timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_1),CPU_8(group_1),CPU_10(group_1),CPU_12(group_2),CPU_14(group_3),CPU_16(group_3),CPU_18(group_3),CPU_20(group_3),CPU_22(group_3),CPU_24(group_3),CPU_26(group_4),CPU_28(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_1),CPU_72(group_1),CPU_74(group_1),CPU_76(group_2),CPU_78(group_3),CPU_80(group_3),CPU_82(group_3),CPU_84(group_3),CPU_86(group_3),CPU_88(group_3),CPU_90(group_4),CPU_92(group_5)
1768747869.2811453,11.7,10.2,5.2,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,2.9,100.0,1.0,0.0,0.0,1.0,0.0,7.1,1.0,0.0,0.0,15.2,0.0,1.0,3.0,2.0,100.0
1768747870.2855575,13.3,2.0,6.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,100.0,0.0,1.0,0.0,0.0,0.0,11.1,2.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,100.0
1768747871.2881002,11.8,9.2,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,5.9,5.1,1.0,0.0,12.2,0.0,0.0,3.0,2.0,100.0
1768747872.2912369,13.3,11.2,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,2.0,1.0,6.1,0.0,0.0,0.0,14.1,3.0,2.0,0.0,1.0,100.0
1768747873.2948296,14.2,3.0,0.0,13.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,2.0,12.9,1.0,0.0,0.0,5.1,3.0,1.0,1.0,1.0,100.0
1768747874.298473,14.2,15.3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,13.4,1.0,1.0,0.0,0.0,100.0
1768747875.303397,10.8,12.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,15.3,2.0,2.0,1.0,0.0,100.0
1768747876.3079188,11.8,0.0,0.0,0.0,3.1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,3.1,0.0,0.0,4.0,0.0,0.0,3.0,1.0,100.0
1768747877.3111384,12.4,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,100.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,19.4,1.0,2.0,2.0,0.0,100.0
1768747878.3147097,15.0,21.4,0.0,1.0,3.1,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,100.0,1.0,0.0,0.0,0.0,1.0,6.1,2.0,0.0,0.0,10.2,3.0,1.0,2.0,2.0,100.0
1768747879.3182518,14.2,8.1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,100.0
1768747880.3425214,11.7,9.0,0.0,0.0,10.1,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,100.0,1.0,0.0,1.0,1.0,0.0,17.2,0.0,1.0,0.0,4.1,2.0,0.0,0.0,1.0,100.0
1768747881.347484,11.7,6.1,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,1.0,0.0,0.0,0.0,0.0,7.2,1.0,1.0,0.0,5.1,1.0,0.0,4.0,0.0,100.0
1768747882.3521795,11.0,7.0,1.0,1.0,5.1,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,100.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,3.0,5.1,0.0,2.0,0.0,0.0,100.0
1768747883.35664,11.8,2.0,0.0,1.0,18.2,2.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,2.0,100.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,8.0,11.3,1.0,2.0,5.1,3.0,100.0
1768747884.3603384,15.0,0.0,0.0,4.1,2.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,5.0,15.5,2.0,0.0,3.0,0.0,100.0
