timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_0),CPU_68(group_0),CPU_6(group_0),CPU_70(group_0),CPU_8(group_0),CPU_72(group_0),CPU_10(group_0),CPU_74(group_0),CPU_12(group_0),CPU_76(group_0),CPU_14(group_0),CPU_78(group_0),CPU_16(group_0),CPU_80(group_0),CPU_18(group_0),CPU_82(group_0),CPU_20(group_0),CPU_84(group_0)
1770631209.0106616,45.5,35.3,42.7,42.6,35.4,42.7,38.6,34.0,39.6,47.1,40.0,41.4,41.0,38.2,37.3,43.4,46.6,44.0,37.3,41.6,46.1,39.4
1770631210.0107899,42.0,40.2,54.5,48.5,39.2,48.0,49.5,44.1,44.1,44.6,43.6,47.1,48.5,43.0,41.6,52.5,46.5,36.4,58.0,36.9,49.0,46.1
1770631211.0108633,52.0,54.0,53.0,53.4,41.0,47.5,39.0,44.0,55.6,51.0,47.0,43.6,46.1,41.3,38.2,46.6,68.6,46.5,50.0,44.0,55.9,45.6
1770631212.0109465,49.0,53.9,57.6,51.0,46.0,45.5,50.5,54.4,51.5,51.0,48.5,56.3,50.0,47.0,54.9,55.9,46.5,56.7,50.0,41.2,51.0,43.0
1770631213.0110185,52.5,43.1,48.5,51.0,44.4,43.6,43.0,41.6,45.5,40.2,44.6,46.5,48.5,52.9,48.5,54.5,46.1,44.1,46.5,51.5,47.1,45.1
1770631214.0110981,43.0,49.5,46.0,45.0,49.0,56.0,45.1,49.0,45.5,49.0,40.0,46.1,49.5,43.0,47.0,45.5,39.0,54.5,50.5,48.0,53.9,52.5
1770631215.011168,50.0,52.5,49.0,50.5,48.5,45.6,50.0,54.0,48.5,49.5,48.0,44.6,62.4,49.0,51.0,58.3,53.9,54.5,50.0,50.0,52.5,52.5
1770631216.011248,48.0,52.5,48.5,49.5,50.5,54.5,55.0,45.5,47.5,53.5,56.4,46.5,44.6,54.5,60.0,47.5,57.0,50.0,47.5,54.5,49.0,52.5
1770631217.011609,49.5,48.5,44.1,44.0,50.0,47.0,43.1,55.9,41.6,49.5,51.5,53.5,48.5,40.8,43.6,44.0,41.6,44.0,46.5,44.6,40.6,48.0
1770631218.013347,46.5,46.0,43.4,52.0,48.5,48.5,43.6,49.5,48.5,44.1,45.0,46.5,52.0,48.0,39.0,48.5,47.1,43.0,44.0,39.6,44.1,45.0
1770631219.013424,54.0,45.5,59.8,47.5,45.0,52.0,48.0,46.0,53.5,49.5,51.5,49.0,49.0,48.0,52.5,41.2,45.5,59.0,51.5,44.6,43.6,60.8
1770631220.0134954,47.5,46.6,38.6,51.5,52.0,50.0,48.1,50.5,48.5,46.5,48.5,52.5,47.0,49.5,49.0,55.0,42.6,56.3,55.0,47.5,47.5,59.8
1770631221.013591,47.5,38.6,48.5,36.6,43.6,49.0,39.4,39.2,51.5,50.0,36.3,36.6,40.6,41.2,39.6,35.6,43.6,30.7,34.7,36.6,28.4,46.0
1770631222.0137045,34.7,38.2,35.6,40.2,31.0,43.1,33.3,46.1,38.8,35.6,30.7,34.3,36.3,50.0,32.0,40.2,36.6,35.6,33.7,42.7,33.3,38.5
1770631223.013788,35.3,27.5,42.6,26.7,34.0,36.0,25.5,43.0,32.4,38.6,33.7,35.6,40.2,35.3,29.7,31.4,30.8,38.0,35.3,39.0,36.9,25.2
1770631224.0138493,41.6,45.0,43.1,42.2,45.5,32.4,37.6,40.0,37.6,37.9,42.7,40.2,47.5,32.4,35.6,47.5,42.0,38.6,41.6,28.0,46.0,45.5
1770631225.013934,37.6,35.3,30.7,36.3,35.6,37.6,41.7,41.7,38.6,41.6,38.6,34.7,31.4,41.6,39.2,32.7,32.4,37.3,47.5,23.5,37.3,32.0
1770631226.0140266,35.9,38.2,31.7,37.3,36.9,32.0,41.6,27.2,35.0,44.1,33.3,42.7,33.7,38.2,43.6,32.7,48.5,31.1,37.3,38.2,39.2,36.9
1770631227.014748,33.0,39.6,43.7,42.2,37.6,42.6,40.4,46.1,49.0,41.2,39.6,40.6,35.3,39.6,36.0,43.0,35.9,46.5,46.1,41.2,36.9,37.3
