timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770650895.1639977,34.7,31.7,29.0,34.3,29.0,33.7,24.7,62.0,58.4,60.0,61.8,61.0,42.2,38.2,34.7,38.8,56.0,47.5,57.0,49.5,53.5,53.5,55.4,56.4
1770650896.1640701,28.3,26.0,26.0,20.4,34.3,36.0,35.4,52.5,66.7,61.6,62.6,59.0,39.0,41.0,39.6,36.0,62.0,59.0,53.5,61.4,53.0,58.0,53.5,60.6
1770650897.164151,28.1,26.0,27.7,28.0,34.3,27.6,35.4,34.0,67.3,71.3,61.8,51.0,30.4,33.0,31.7,31.4,60.4,55.6,62.0,52.5,58.0,55.0,60.0,69.0
1770650898.1642325,35.7,30.1,29.6,32.0,40.4,36.6,26.3,20.2,60.4,61.0,61.6,62.0,29.0,29.7,33.3,28.0,48.5,56.9,54.5,53.9,51.5,54.5,44.1,45.5
1770650899.1643183,34.3,28.6,34.0,31.7,45.0,39.0,36.4,33.7,67.0,56.0,57.3,69.7,35.6,29.0,28.7,29.3,63.0,53.0,57.0,56.6,49.5,55.4,42.0,54.9
1770650900.1650937,27.1,28.7,25.0,28.3,46.0,40.8,39.6,34.3,63.0,57.4,59.6,64.7,26.7,33.7,30.7,28.4,47.5,47.5,50.0,50.0,51.0,47.0,45.5,43.9
1770650901.1651611,28.9,26.0,26.3,27.0,34.0,36.4,40.4,32.3,50.0,57.0,67.0,64.0,44.6,32.7,44.0,33.3,51.0,58.4,51.5,54.0,51.5,55.0,48.0,54.0
1770650902.1660013,35.7,29.3,28.6,34.7,38.4,45.5,39.8,39.4,61.0,68.0,61.6,59.4,33.0,42.2,34.0,34.7,50.5,52.0,47.5,42.4,58.6,50.5,49.0,49.0
1770650903.1660936,29.6,28.3,27.3,31.0,46.0,48.0,36.4,41.0,64.0,61.0,61.8,61.0,32.7,33.0,30.0,39.4,47.5,47.0,57.6,46.0,50.5,60.0,50.0,51.5
1770650904.1664402,31.3,30.7,32.3,29.0,27.3,28.3,31.3,30.3,60.0,63.6,60.0,57.8,37.3,40.2,37.3,35.3,47.0,44.0,41.0,49.0,62.7,58.4,50.5,49.0
1770650905.1665196,28.3,26.7,28.0,29.7,29.9,31.3,31.3,26.7,57.8,71.3,57.0,60.4,36.6,39.6,35.3,37.6,47.5,41.0,41.0,46.5,60.4,55.6,54.5,55.6
1770650906.1665874,30.6,24.2,26.3,25.0,33.7,30.7,41.6,24.5,61.6,49.0,58.0,65.7,27.0,26.5,25.7,26.7,41.4,42.9,41.4,52.5,43.9,62.0,53.5,41.6
1770650907.1666725,36.7,33.3,31.0,30.7,41.0,31.0,28.9,41.4,59.4,55.6,64.6,56.3,26.3,29.0,23.5,27.3,33.3,31.6,31.0,34.0,52.0,50.5,52.5,52.5
1770650908.166763,33.7,29.3,29.3,26.0,41.0,33.7,33.0,42.6,64.0,52.5,65.0,66.7,37.6,38.0,34.3,38.6,44.9,51.0,48.5,53.5,45.5,61.0,53.5,54.5
1770650909.1668658,27.8,25.0,29.6,31.3,32.3,32.7,25.3,30.6,56.9,62.7,57.0,63.0,34.7,37.3,38.2,40.2,46.0,41.4,40.8,47.0,55.4,59.6,56.0,56.6
1770650910.1674438,29.3,26.5,29.0,27.7,33.3,36.4,28.3,29.3,60.0,58.0,63.4,64.4,39.2,41.2,38.6,39.8,52.5,43.4,43.0,50.5,46.5,55.4,45.5,49.5
1770650911.1675234,32.3,29.6,34.3,30.3,38.6,30.6,28.9,34.7,60.4,67.0,59.0,57.0,28.0,25.5,28.7,26.7,58.6,52.0,56.6,53.5,54.5,51.5,52.5,52.0
1770650912.1680102,27.4,29.0,25.5,26.7,30.9,43.0,42.0,40.6,60.4,60.8,62.4,63.0,36.6,36.6,36.4,31.7,53.5,51.0,48.5,52.5,56.0,48.0,50.5,59.0
1770650913.168093,33.3,30.0,34.7,32.3,31.3,29.3,38.4,42.9,55.1,62.0,54.0,64.1,50.0,44.0,44.6,50.0,56.4,58.4,57.1,59.2,44.9,43.3,51.5,36.7
1770650914.1681793,30.2,27.7,25.0,28.0,36.7,27.6,40.6,40.0,62.0,58.6,56.4,71.3,39.0,35.6,33.0,39.0,53.5,47.5,53.0,49.0,59.4,49.5,46.5,51.0
1770650915.170486,35.6,33.0,28.9,31.0,21.4,39.6,33.0,35.0,62.4,52.5,63.0,57.0,50.0,39.2,45.1,36.9,56.0,57.0,60.0,57.6,52.9,52.0,48.5,52.0
1770650916.1705732,29.5,26.7,27.7,29.0,33.3,34.3,34.0,35.0,72.3,63.0,54.5,67.6,27.7,25.0,26.0,26.0,55.6,52.5,51.0,51.5,60.0,57.4,63.0,53.9
1770650917.1706405,30.6,32.7,35.4,31.7,31.6,25.5,32.3,36.0,57.0,57.0,61.4,62.6,23.2,20.8,29.4,19.0,55.9,59.4,57.0,61.8,55.0,54.0,53.0,49.0
1770650918.1707103,29.2,24.5,26.3,23.2,34.7,28.0,44.9,42.4,56.6,66.0,63.6,53.5,36.3,37.0,40.0,39.6,51.0,48.0,52.0,50.0,43.4,49.5,46.0,49.0
1770650919.1707835,38.0,26.3,34.3,34.0,40.4,31.6,49.5,29.3,58.0,53.0,63.7,65.0,44.1,43.1,42.6,42.6,55.4,46.9,49.0,51.0,52.0,49.5,46.5,55.6
1770650920.1708555,31.3,27.3,27.3,25.0,23.5,31.7,47.5,35.4,53.9,61.0,62.4,65.7,30.3,30.7,32.7,34.0,45.5,48.0,46.0,54.5,45.5,48.5,50.5,44.4
1770650921.1709285,36.1,31.7,30.3,28.3,46.0,30.3,37.3,41.4,65.0,60.4,59.2,60.4,26.7,30.6,30.0,24.0,51.0,45.5,49.0,50.0,56.0,55.6,49.5,46.1
