timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_1),CPU_66(group_1),CPU_4(group_2),CPU_68(group_2),CPU_6(group_3),CPU_70(group_3),CPU_8(group_4),CPU_72(group_4),CPU_10(group_5),CPU_74(group_5),CPU_12(group_6),CPU_76(group_6),CPU_14(group_7),CPU_78(group_7),CPU_16(group_8),CPU_80(group_8),CPU_18(group_9),CPU_82(group_9),CPU_20(group_10),CPU_84(group_10),CPU_22(group_11),CPU_86(group_11),CPU_24(group_12),CPU_88(group_12),CPU_26(group_13),CPU_90(group_13),CPU_28(group_14),CPU_92(group_14),CPU_30(group_15),CPU_94(group_15),CPU_32(group_16),CPU_96(group_16),CPU_34(group_17),CPU_98(group_17),CPU_36(group_18),CPU_100(group_18),CPU_38(group_19),CPU_102(group_19),CPU_40(group_20),CPU_104(group_20),CPU_42(group_21),CPU_106(group_21),CPU_44(group_22),CPU_108(group_22),CPU_46(group_23),CPU_110(group_23),CPU_48(group_24),CPU_112(group_24),CPU_50(group_25),CPU_114(group_25),CPU_52(group_26),CPU_116(group_26)
1770631590.2281759,47.1,58.8,41.6,58.8,43.1,54.5,51.5,51.5,47.1,47.6,43.0,52.9,47.5,54.9,55.4,48.5,51.5,54.5,47.6,46.6,48.0,53.9,5.0,4.1,3.1,3.1,3.1,2.0,3.0,5.1,4.0,4.0,4.0,2.0,3.0,3.0,20.0,3.0,8.1,7.0,3.1,5.1,2.0,7.1,4.0,4.0,2.0,5.1,2.0,4.1,2.0,5.1,2.0,3.1
1770631591.2282522,43.4,43.7,59.2,43.7,41.6,51.0,50.0,52.9,51.0,49.0,51.0,49.5,58.3,49.5,48.5,48.5,49.5,51.5,53.5,53.8,57.4,42.6,3.1,5.0,4.1,4.0,5.1,4.1,5.1,4.1,2.0,3.1,2.0,3.1,4.1,4.0,39.0,2.0,1.0,4.1,3.0,5.2,2.0,6.1,3.1,5.0,0.0,6.0,1.0,6.1,2.0,5.9,3.0,3.1
1770631592.2283213,43.6,44.0,54.5,42.7,44.0,58.8,45.5,63.4,50.0,44.1,46.6,46.1,43.7,46.1,50.5,50.0,53.4,47.6,55.4,47.5,38.2,46.1,2.1,5.1,3.1,4.1,3.1,5.1,2.1,7.0,4.0,5.1,3.1,5.1,4.0,1.0,23.5,4.0,18.0,1.0,1.0,2.0,2.0,4.0,2.0,3.1,3.0,2.0,2.0,4.0,2.0,1.0,0.0,7.1
1770631593.2284048,49.5,56.3,49.5,45.6,46.5,40.6,52.5,51.5,56.4,45.0,48.0,46.5,43.4,50.0,54.5,52.5,42.6,51.0,44.6,46.0,46.0,45.5,6.0,4.1,5.1,6.1,4.1,5.1,5.1,3.1,3.1,4.1,3.0,4.1,2.0,5.1,20.2,7.1,20.2,6.0,2.0,7.1,3.0,6.1,3.0,7.1,3.0,4.1,3.1,5.0,2.1,2.0,2.0,5.1
1770631594.2284758,58.4,59.8,59.4,57.0,56.4,58.4,63.7,50.5,52.0,54.0,59.8,50.0,55.9,55.0,51.0,54.5,49.5,53.5,65.7,57.8,48.5,56.9,7.1,7.2,6.3,8.2,7.1,8.1,8.2,7.1,7.1,7.1,4.1,8.0,7.1,4.1,10.1,6.0,31.7,6.1,14.3,4.1,3.0,10.2,6.9,7.1,6.0,7.1,4.0,6.1,7.0,6.0,4.1,6.1
1770631595.2285478,46.9,55.0,52.0,41.0,46.1,48.5,54.5,55.3,47.5,44.0,59.4,48.0,55.0,47.5,43.6,54.4,52.9,54.5,44.0,48.5,51.5,55.4,4.1,4.0,5.1,3.1,4.1,4.1,4.1,3.1,4.1,2.1,4.0,3.1,2.1,3.1,3.1,3.1,39.6,3.0,6.1,1.0,3.0,4.0,4.1,3.1,6.1,3.0,2.0,4.1,2.0,3.1,4.0,2.0
1770631596.228617,39.4,55.9,58.4,55.8,47.5,58.8,55.0,48.5,52.5,51.0,50.5,46.1,47.1,45.5,52.0,56.9,55.4,45.1,47.6,56.4,46.0,53.9,6.1,7.1,6.1,4.2,5.1,6.1,5.1,9.1,15.3,6.1,4.1,7.1,4.1,6.1,5.1,7.1,36.4,3.1,12.0,5.1,3.0,6.1,7.1,6.1,7.1,2.1,4.1,4.0,4.1,6.1,5.1,5.2
1770631597.22894,53.5,59.4,53.5,49.0,52.0,51.0,52.9,52.0,58.4,50.5,48.5,55.9,48.0,52.9,52.5,54.9,47.1,52.0,50.5,51.5,50.5,52.5,3.1,3.1,3.1,6.0,6.1,4.0,5.1,3.1,8.9,4.1,4.0,6.1,3.0,5.2,3.1,3.1,40.4,3.0,4.0,4.1,3.0,4.0,2.0,2.1,1.0,4.0,2.1,2.0,4.1,3.0,5.1,4.0
1770631598.231204,57.4,57.3,47.6,48.5,42.4,53.5,48.5,47.1,41.6,50.0,42.0,41.6,50.5,53.8,46.0,53.9,50.0,56.9,49.0,44.6,47.1,47.5,4.0,4.0,4.0,3.1,6.0,3.1,3.1,3.1,3.1,3.1,4.0,3.0,4.1,5.1,3.1,4.1,36.0,5.0,1.0,3.1,1.0,7.0,4.0,5.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0
1770631599.2312741,52.5,50.5,48.0,49.0,54.0,43.4,46.1,44.4,43.7,53.4,50.5,42.6,50.0,49.0,45.0,47.0,46.0,51.0,51.5,47.1,50.0,45.5,6.1,4.1,5.1,6.1,3.1,4.1,5.1,3.1,5.1,5.1,4.1,4.1,6.0,5.1,7.0,4.0,4.1,3.1,19.2,12.0,27.7,6.1,6.0,6.0,3.0,10.1,2.0,5.1,2.0,6.2,3.1,4.0
