timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770632047.3301158,53.0,44.0,54.5,46.0,51.0,53.0,52.0,42.2,46.5,49.0,48.5,59.0,53.0,53.5,46.1,52.5,43.4,54.0,58.8,53.5,52.5,53.5,6.1,6.0
1770632048.3302007,49.5,46.1,54.9,57.3,50.5,65.7,51.0,56.3,44.6,56.0,45.0,49.5,48.5,45.0,48.0,52.0,47.5,46.5,59.0,46.0,45.0,47.5,14.4,4.1
1770632049.3302774,50.0,52.0,50.0,60.0,49.0,44.6,55.3,50.5,43.6,43.7,44.4,51.5,50.5,46.1,52.0,50.0,56.0,46.5,47.1,48.0,52.0,48.5,9.1,4.1
1770632050.3303785,46.5,46.1,55.8,45.0,44.1,44.6,48.0,45.5,51.0,49.0,45.5,49.5,46.0,53.5,46.0,43.6,48.5,43.1,52.9,46.5,51.5,49.5,20.4,9.0
1770632051.3304453,47.5,53.0,44.9,51.0,54.5,52.9,56.0,44.2,52.9,45.0,46.5,51.0,47.1,51.0,48.5,49.5,53.9,49.5,51.5,47.5,49.5,49.0,18.0,3.1
1770632052.330527,52.0,51.5,45.0,52.0,51.0,45.0,46.0,53.0,53.0,49.5,48.0,56.9,51.0,50.5,49.5,54.0,52.5,52.0,45.5,52.0,40.6,47.5,3.0,32.7
1770632053.3306231,44.6,45.0,46.0,49.5,55.4,47.5,45.6,51.0,57.8,47.1,51.0,57.3,48.0,50.5,47.5,53.4,36.6,50.5,49.0,53.4,50.5,52.5,4.0,22.4
1770632054.3307114,56.0,46.5,47.1,50.5,52.0,50.0,40.0,46.6,48.0,42.0,49.5,48.0,47.0,45.5,50.0,43.1,48.0,42.6,45.5,47.0,50.0,43.6,3.1,14.1
1770632055.330801,47.5,45.1,41.4,47.5,53.4,50.5,54.9,42.6,55.9,46.6,48.0,45.5,48.5,49.5,50.0,45.1,46.5,44.6,46.1,48.0,45.5,50.5,5.1,19.2
1770632056.331018,50.5,47.5,55.4,49.0,51.5,46.1,47.5,50.0,46.0,36.3,55.4,51.0,58.8,45.5,43.6,54.0,50.0,44.4,47.5,45.5,54.5,51.5,14.3,7.1
1770632057.3314471,52.5,53.5,44.1,48.0,49.0,41.6,51.0,48.5,48.0,47.0,51.5,39.2,53.5,44.6,50.0,45.1,52.0,44.1,45.6,52.0,47.6,48.5,25.3,2.0
1770632058.3315268,50.5,45.1,41.8,55.4,51.5,43.1,51.0,48.5,48.0,48.5,45.5,48.5,47.5,52.9,44.1,47.6,48.0,44.6,51.0,48.5,50.0,45.5,4.0,29.6
1770632059.331602,41.4,49.5,44.1,52.5,45.1,46.5,44.0,45.1,44.6,58.0,47.5,49.0,41.3,50.5,47.1,52.4,44.1,45.6,51.0,51.5,48.5,47.1,3.1,22.2
1770632060.3316708,45.5,56.4,47.5,55.0,49.0,49.5,50.0,44.0,44.0,49.5,45.0,47.1,47.5,52.9,52.4,47.5,44.4,45.0,47.1,50.5,46.0,57.8,10.2,4.0
1770632061.3322997,49.0,45.1,45.1,50.5,48.5,46.5,50.0,59.2,52.4,45.5,55.3,54.0,54.5,41.0,50.0,43.1,43.7,56.9,51.5,46.1,49.5,45.5,10.2,9.3
1770632062.3323736,55.9,40.6,44.6,47.5,49.5,51.5,55.3,44.1,46.0,51.0,47.5,46.1,53.4,50.5,51.0,47.5,43.6,51.0,42.2,47.5,42.6,43.1,8.1,15.0
1770632063.3324416,37.4,46.5,42.6,47.1,39.6,52.5,51.0,49.0,48.1,52.5,47.1,49.5,47.5,52.5,49.5,47.5,42.0,54.0,56.0,47.6,36.3,50.5,10.2,5.1
1770632064.3325276,53.1,52.0,48.0,55.0,53.5,49.5,54.0,46.5,43.0,48.5,54.9,50.5,43.6,56.3,41.2,52.5,50.0,49.5,47.0,54.0,45.5,47.5,12.2,3.1
1770632065.3325996,37.9,47.1,46.6,52.0,45.0,47.5,51.0,42.6,47.0,42.4,44.4,45.1,48.5,52.0,43.1,49.0,41.2,37.9,53.5,41.6,44.1,51.0,4.0,19.0
1770632066.3326895,46.5,54.5,51.0,49.5,53.0,51.0,47.1,48.0,53.9,52.0,52.0,48.0,55.3,54.0,47.1,52.9,49.5,47.0,51.0,45.5,41.7,47.1,3.1,15.0
1770632067.3327754,50.0,47.6,45.1,44.6,54.0,51.5,51.0,46.0,48.5,43.4,48.0,50.5,54.5,51.5,50.5,46.5,50.0,55.4,52.0,49.0,51.5,46.0,9.2,8.2
1770632068.3328567,58.3,50.5,43.0,45.5,48.5,50.0,41.0,51.5,45.5,45.1,49.5,48.0,48.5,51.5,52.5,48.5,47.1,45.5,51.0,47.1,48.0,47.0,5.2,28.3
1770632069.3334975,53.6,55.4,50.5,56.4,46.5,52.5,47.5,48.0,43.7,50.0,50.0,53.9,48.0,44.6,44.6,49.0,52.0,51.5,56.0,53.5,48.0,42.6,19.0,12.1
1770632070.3335624,49.5,46.5,48.5,46.5,43.6,55.0,51.5,54.0,47.5,52.0,46.1,49.5,54.0,47.5,43.0,48.0,38.4,52.9,51.5,44.4,49.0,38.6,27.6,3.0
1770632071.3336298,52.0,45.1,48.0,56.9,54.0,51.5,52.0,54.9,57.4,56.9,54.5,53.9,53.5,49.0,52.9,49.0,47.0,54.5,55.4,56.9,46.0,58.4,14.1,8.2
1770632072.3337042,53.5,52.0,51.0,55.4,51.0,46.1,58.3,50.0,38.4,55.0,58.8,44.6,54.9,47.1,52.0,50.5,48.5,45.5,50.0,52.0,45.5,43.0,16.3,13.1
1770632073.334132,50.0,50.5,46.5,56.7,48.5,56.9,50.5,51.0,45.1,51.0,44.6,48.5,51.5,56.0,47.0,52.5,54.0,51.0,43.6,53.0,61.8,50.5,14.0,5.1
1770632074.3342743,48.0,51.0,40.6,42.4,50.0,46.0,49.0,53.0,47.0,47.5,40.0,47.1,45.5,51.5,52.4,56.9,50.0,52.0,48.0,43.6,50.0,44.0,4.2,4.0
1770632075.3343978,50.0,49.5,50.5,42.2,43.0,56.0,48.0,51.0,49.5,51.5,46.0,38.4,47.5,57.0,43.4,50.0,51.5,55.4,56.4,55.6,48.5,51.0,11.1,5.1
1770632076.3344734,54.5,41.2,38.0,43.7,47.5,43.6,39.6,49.0,51.9,51.5,44.7,47.5,50.0,45.1,44.2,42.2,50.5,41.0,45.5,51.4,45.6,49.5,3.1,14.1
1770632077.3345625,50.0,42.7,47.1,47.1,46.5,40.6,47.1,52.5,48.0,46.1,42.7,42.2,53.0,43.6,46.0,39.6,50.0,42.6,53.5,44.0,44.6,46.0,18.2,4.0
1770632078.3346455,42.0,40.6,44.1,48.5,43.1,39.0,42.2,52.4,45.5,46.5,44.6,39.6,50.0,42.6,43.1,50.0,43.6,40.2,42.7,41.0,44.6,49.0,33.3,3.0
